seed,test_c_index,test_td_auc,test_iauc,test_ibs,test_loss,val_c_index,val_td_auc,val_iauc,val_ibs,val_loss,best_epoch
42,0.7699277934341905,0.8246569442088173,0.8315342497625984,0.17205461602984715,5.273468365257341,0.7746933080772033,0.8357430087057395,0.8371230660527547,0.16211534798225852,5.141876407807603,12
43,0.7615763571555111,0.8157047024815973,0.8228654721779229,0.1780502249957182,5.35367524536602,0.771427471999583,0.8368538491748896,0.8362857648711003,0.16357023632966664,5.1485677316981215,12
44,0.7658695507412261,0.8190507325466534,0.8272227843917124,0.17329313265838017,5.258685197872089,0.7737015167332205,0.8292632381801376,0.835663394322728,0.16550739569262568,5.1677355773277895,13
45,0.7657841140529531,0.8141856274281732,0.8264202097079044,0.1751995441275246,5.298178685357246,0.7809345181867721,0.8413327772628157,0.8440949552265253,0.16147708523731918,5.1572828453421415,16
46,0.7645075894164046,0.819032979566377,0.8284756143605542,0.17349503397583155,5.298860603684387,0.7771901645082688,0.8409494547626799,0.8424361136583297,0.16079590867632848,5.144500761046068,12
47,0.7690093490352564,0.8182171478956543,0.8314830180696464,0.17552912112818586,5.290975669118007,0.7767017165810383,0.8327722948029661,0.8374181550532679,0.16420175862220035,5.14811130358918,14
48,0.7668998166880467,0.8190861278461579,0.8286324645388412,0.17380779989277473,5.284716091602823,0.7739621877998493,0.8361593825941763,0.8387618870890015,0.16220676473611922,5.153698545598355,9
49,0.7658934227570671,0.8126162129147911,0.8248966875609461,0.17882364395023118,5.347301877609633,0.7764373216420292,0.8362777387160314,0.838412336428307,0.1699989284783674,5.344244219024569,14
50,0.7696011237437351,0.8196901616577549,0.8312606549175303,0.17311401470290438,5.290367843465958,0.7749874939952558,0.8343585149699543,0.8382345057264873,0.1635400572914879,5.169381039034395,13
51,0.7670706900645926,0.8177936309027469,0.8267360017951215,0.17601700503105422,5.315005960087476,0.7781937481147896,0.8376137368774281,0.8409383062469992,0.16161541348772168,5.151771724834973,12
