epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,3.981161,4.068891,0.558807,0.486292,38,211,0.563340,0.110003,15.000000,1
2,3.809731,4.067086,0.553659,0.522674,38,211,0.586526,0.109467,15.000000,1
3,3.716062,4.042490,0.573704,0.543916,38,211,0.614953,0.107645,15.000000,1
4,3.720336,4.034917,0.588908,0.581695,38,211,0.631934,0.106947,15.000000,1
5,3.719152,4.030971,0.603300,0.593868,38,211,0.640741,0.106557,15.000000,1
6,3.574103,4.042294,0.610216,0.594506,38,211,0.638029,0.106830,15.000000,1
7,3.445242,4.062764,0.611994,0.588025,38,211,0.631420,0.107237,15.000000,1
8,3.465402,4.107141,0.614794,0.599505,38,211,0.627617,0.108919,15.000000,1
9,3.532804,4.093274,0.638999,0.644394,38,211,0.632962,0.111894,15.000000,1
10,3.405776,4.135023,0.623883,0.600003,38,211,0.617802,0.112582,15.000000,1
11,3.571569,4.146223,0.626957,0.602647,38,211,0.615502,0.112615,15.000000,1
12,3.459564,4.139285,0.633785,0.627540,38,211,0.630786,0.111946,15.000000,1
13,3.440396,4.186058,0.618350,0.588128,38,211,0.614942,0.112655,15.000000,1
14,3.451669,4.155085,0.632764,0.604842,38,211,0.614023,0.114431,15.000000,1
15,3.414847,4.159624,0.634751,0.613050,38,211,0.609829,0.116007,15.000000,1
16,3.353744,4.254452,0.614629,0.555460,38,211,0.591372,0.117439,15.000000,1
17,3.431523,4.204400,0.633686,0.601451,38,211,0.605388,0.116933,15.000000,1
18,3.421398,4.298239,0.612774,0.536936,38,211,0.578993,0.120189,15.000000,1
19,3.478105,4.236736,0.625508,0.589387,38,211,0.599472,0.119750,15.000000,1
20,3.312712,4.288895,0.615683,0.577892,38,211,0.588271,0.121167,15.000000,1
21,3.391101,4.287327,0.606231,0.541342,38,211,0.579088,0.119922,15.000000,1
22,3.394148,4.354404,0.618350,0.576351,38,211,0.585498,0.122059,15.000000,1
23,3.250130,4.382278,0.636924,0.582258,38,211,0.606038,0.121430,15.000000,1
24,3.351740,4.394133,0.602290,0.522064,38,211,0.565289,0.121553,15.000000,1
25,3.193582,4.325277,0.627319,0.598302,38,211,0.605314,0.120069,15.000000,1
26,3.374172,4.339343,0.634696,0.602567,38,211,0.606343,0.123534,15.000000,1
27,3.308435,4.377407,0.602444,0.534166,38,211,0.568335,0.123787,15.000000,1
28,3.005150,4.376398,0.623598,0.588319,38,211,0.590031,0.124570,15.000000,1
29,3.152772,4.389297,0.602696,0.554654,38,211,0.575321,0.123896,15.000000,1
