epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,3.586259,4.050743,0.554570,0.667998,38,211,0.581086,0.109929,15.000000,1
2,3.446537,4.073675,0.536149,0.646680,38,211,0.579948,0.110140,15.000000,1
3,3.464799,4.048133,0.544525,0.660635,38,211,0.596281,0.109099,15.000000,1
4,3.214679,4.055643,0.552144,0.660443,38,211,0.607395,0.108334,15.000000,1
5,3.451539,4.082796,0.570235,0.657302,38,211,0.628991,0.108022,15.000000,1
6,3.302492,4.112857,0.558313,0.664912,38,211,0.621258,0.108808,15.000000,1
7,3.301677,4.055602,0.562320,0.653054,38,211,0.609326,0.108025,15.000000,1
8,3.357639,4.070576,0.566909,0.643993,38,211,0.617945,0.106260,15.000000,1
9,3.291713,4.083042,0.576042,0.637854,38,211,0.617343,0.106000,15.000000,1
10,3.347169,4.101069,0.574154,0.649821,38,211,0.625367,0.107056,15.000000,1
11,3.109446,4.166320,0.556546,0.623391,38,211,0.595881,0.109846,15.000000,1
12,3.188675,4.197308,0.561738,0.626070,38,211,0.597935,0.110374,15.000000,1
13,3.237472,4.167227,0.570005,0.629792,38,211,0.607117,0.107941,15.000000,1
14,3.286946,4.162027,0.561091,0.624853,38,211,0.591790,0.109369,15.000000,1
15,3.023107,4.227036,0.561157,0.608389,38,211,0.588869,0.109503,15.000000,1
16,2.971852,4.241695,0.554855,0.600484,38,211,0.589600,0.109792,15.000000,1
17,3.111814,4.335249,0.551156,0.583330,38,211,0.581727,0.111870,15.000000,1
18,3.164778,4.283945,0.558577,0.585466,38,211,0.578272,0.110661,15.000000,1
19,3.057351,4.339590,0.565548,0.600005,38,211,0.567809,0.114104,15.000000,1
20,2.927267,4.373916,0.565910,0.600424,38,211,0.583016,0.112857,15.000000,1
21,3.129718,4.410382,0.566547,0.591084,38,211,0.570074,0.115180,15.000000,1
22,3.147392,4.406182,0.558269,0.578554,38,211,0.539812,0.117291,15.000000,1
23,3.019803,4.547860,0.556019,0.586117,38,211,0.552108,0.119347,15.000000,1
24,3.043232,4.561801,0.558039,0.577293,38,211,0.553651,0.117032,15.000000,1
25,3.007591,4.619147,0.544536,0.596033,38,211,0.560003,0.117640,15.000000,1
26,3.057902,4.510800,0.545305,0.584442,38,211,0.534942,0.117421,15.000000,1
27,2.953220,4.566684,0.546249,0.569756,38,211,0.539761,0.117504,15.000000,1
28,2.924124,4.632906,0.543878,0.573603,38,211,0.533976,0.119177,15.000000,1
29,2.903124,4.647002,0.553143,0.556496,38,211,0.522917,0.121122,15.000000,1
30,2.946628,4.722906,0.564143,0.590551,38,211,0.555629,0.118773,15.000000,1
31,3.047490,4.790662,0.525973,0.550897,38,211,0.510198,0.124441,15.000000,1
32,2.887739,4.869675,0.555316,0.577388,38,211,0.553064,0.121110,15.000000,1
33,2.923201,4.775906,0.528180,0.498911,38,211,0.500495,0.124397,15.000000,1
34,2.835093,4.903234,0.558237,0.569431,38,211,0.537855,0.121354,15.000000,1
35,2.949311,4.812748,0.542407,0.552735,38,211,0.513190,0.123152,15.000000,1
36,2.839871,4.950111,0.547171,0.566070,38,211,0.530986,0.122384,15.000000,1
37,2.842163,4.888926,0.552704,0.567350,38,211,0.526918,0.120651,15.000000,1
38,2.889473,4.989476,0.547424,0.549006,38,211,0.517952,0.124143,15.000000,1
39,2.896374,5.013765,0.548148,0.554687,38,211,0.524008,0.123038,15.000000,1
