seed,test_c_index,test_td_auc,test_iauc,test_ibs,test_loss,val_c_index,val_td_auc,val_iauc,val_ibs,val_loss,best_epoch
42,0.5726136090406347,0.6558299907910792,0.6176231017536064,0.0976440355768452,4.004943014817861,0.6008628449733242,0.6203732067984179,0.6283809181126305,0.10570833527302116,4.125953270660753,10
43,0.6604953113729262,0.5970407518143125,0.5708527352581338,0.10079717195022775,4.01514659383376,0.6026631830856038,0.6083101773803384,0.6171669005959031,0.11986832093735716,4.170569327627215,14
44,0.6573094493868719,0.5665759486036528,0.5714958163064221,0.09897910034334446,3.8689924194256617,0.6236305354908117,0.6885553554030495,0.6603374714227938,0.10535386967363607,4.011903048986103,6
45,0.577091849002164,0.721900844804721,0.5732172670448931,0.10861823482920595,3.8565248683956708,0.6439721606252882,0.6228632006179665,0.5902328712146462,0.11341529615412509,4.170185082523212,17
46,0.6176665063717239,0.620044294973646,0.5676398377685234,0.10259722078343136,3.8815869188215766,0.5790941225547237,0.6427402211402286,0.6174606249177536,0.10534142446498418,4.030091070256365,9
47,0.608379418129358,0.6494952933717042,0.60379849102292,0.10424599861420647,3.9617553869573383,0.6389992754736865,0.6443936172142827,0.6329615263493122,0.11189427987637084,4.093274017249229,9
48,0.664522721808127,0.7040938031559336,0.6229552570530488,0.09370854710721405,3.813956277412281,0.6427755944409071,0.6153251494806741,0.6278765519533168,0.11475041243377042,4.11869906328613,15
49,0.6372024525126232,0.6756459223864502,0.5808806298424889,0.1009716597632225,3.927077424146666,0.6318747667244824,0.6672146830002321,0.660494175668805,0.10600412887412958,3.9892412155221164,4
50,0.613488819427747,0.6363567192195062,0.5987617347867643,0.10291809487845181,3.830621175288844,0.653808154214328,0.6353137704154618,0.6406221691085822,0.10911653243856535,4.069120365973281,7
51,0.6388254388074056,0.644396532935732,0.5669517542964689,0.10103765024877032,3.9558943859395304,0.6177355259402375,0.6453146864530926,0.6440035527958318,0.1059593092579697,4.013777020620356,6
