epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,4.887251,5.394452,0.713232,0.749491,753,603,0.760497,0.201531,365.000000,1
2,4.722877,5.265969,0.744227,0.794151,753,603,0.800493,0.183134,365.000000,1
3,4.650410,5.215907,0.757190,0.812249,753,603,0.818015,0.174960,365.000000,1
4,4.615140,5.191488,0.764950,0.822424,753,603,0.827129,0.170525,365.000000,1
5,4.594302,5.175964,0.767797,0.826657,753,603,0.831709,0.167969,365.000000,1
6,4.589877,5.172571,0.769150,0.826195,753,603,0.832590,0.167422,365.000000,1
7,4.572558,5.167418,0.769755,0.826791,753,603,0.832691,0.167168,365.000000,1
8,4.558613,5.163856,0.770259,0.826515,753,603,0.833531,0.166534,365.000000,1
9,4.545675,5.159471,0.771333,0.829069,753,603,0.834633,0.165632,365.000000,1
10,4.517004,5.156713,0.771311,0.828241,753,603,0.834611,0.165485,365.000000,1
11,4.518520,5.158078,0.771012,0.827761,753,603,0.833967,0.165669,365.000000,1
12,4.495004,5.157805,0.771579,0.828520,753,603,0.834759,0.164976,365.000000,1
13,4.483379,5.161147,0.771676,0.827704,753,603,0.834525,0.165345,365.000000,1
14,4.498515,5.158767,0.770444,0.826312,753,603,0.833893,0.165586,365.000000,1
15,4.478964,5.159965,0.770909,0.827762,753,603,0.833787,0.165277,365.000000,1
16,4.483125,5.164005,0.771225,0.826624,753,603,0.833818,0.165693,365.000000,1
17,4.479589,5.159862,0.770726,0.825378,753,603,0.833300,0.165550,365.000000,1
18,4.464990,5.164981,0.770053,0.826196,753,603,0.832930,0.165971,365.000000,1
19,4.452655,5.167170,0.771089,0.826440,753,603,0.833737,0.165731,365.000000,1
20,4.447790,5.173218,0.769691,0.824379,753,603,0.832132,0.166548,365.000000,1
21,4.445621,5.169369,0.767743,0.822100,753,603,0.830153,0.167496,365.000000,1
22,4.446546,5.162998,0.769270,0.822740,753,603,0.830648,0.167203,365.000000,1
23,4.442890,5.171333,0.769446,0.823303,753,603,0.831666,0.166689,365.000000,1
24,4.427324,5.170501,0.768108,0.823151,753,603,0.830348,0.167078,365.000000,1
25,4.419568,5.172761,0.768898,0.822717,753,603,0.830866,0.167506,365.000000,1
26,4.414886,5.179211,0.768092,0.821512,753,603,0.830021,0.168037,365.000000,1
27,4.419541,5.171229,0.768671,0.822996,753,603,0.830541,0.167269,365.000000,1
28,4.410358,5.187720,0.766281,0.819752,753,603,0.827350,0.169351,365.000000,1
29,4.390347,5.188313,0.767632,0.822587,753,603,0.829631,0.168586,365.000000,1
30,4.402867,5.185378,0.767507,0.821885,753,603,0.829380,0.168443,365.000000,1
31,4.381245,5.187378,0.767183,0.820257,753,603,0.828650,0.168885,365.000000,1
32,4.369689,5.194549,0.765994,0.818865,753,603,0.827184,0.169721,365.000000,1
