seed,test_c_index,test_td_auc,test_iauc,test_ibs,test_loss,val_c_index,val_td_auc,val_iauc,val_ibs,val_loss,best_epoch
42,0.7668131235778874,0.8209882528018305,0.8283386126366545,0.16787379619731446,5.199890324521379,0.7717737921309611,0.8322853583743893,0.8342540807775863,0.16426719920678667,5.1516042055881215,12
43,0.7602508320653942,0.8154322651024462,0.8231580174080667,0.17037721327036628,5.241033787259595,0.7701923876600799,0.8363509961125545,0.8353732658095545,0.16399687188337353,5.154387299522299,9
44,0.7655215218787025,0.817667718679564,0.826604635475627,0.1702476350194447,5.208741107761947,0.7715789094763863,0.8285196402952869,0.8347594679613893,0.16497614158990234,5.157805384863522,12
45,0.7655705223322709,0.8167591451338816,0.8280834093675538,0.16880916553997147,5.21204281830683,0.77831725654874,0.8390236403203246,0.8422883106925083,0.16120275932069186,5.142833633618334,16
46,0.7647990792940417,0.8166306783895153,0.8279569619889671,0.17102160893514862,5.253034819272043,0.7764062893721924,0.8378808847333021,0.8415717385354414,0.16158559812950252,5.13588134645543,13
47,0.7676385927572303,0.819026295496173,0.830992881281106,0.16912836361699868,5.208305812684893,0.7748906733133651,0.8297418138302493,0.8356197436895467,0.16427923701684358,5.14322343438122,20
48,0.7674978735059573,0.821482005805643,0.831064661403904,0.16913919028111685,5.221034897543152,0.7722715497391427,0.8337076980771025,0.8368408294741301,0.163275518272606,5.15475895115083,9
49,0.7655466503164299,0.8178073031670713,0.8259341242698955,0.17151116238562303,5.253442371921344,0.7748497107171806,0.8347269787301823,0.8375474132376108,0.16350825861889176,5.151145674648257,14
50,0.7690294517854384,0.8169962287810296,0.8303487571000561,0.16884099330470792,5.21572662900866,0.7741918265966413,0.8332215309492128,0.8382710133517829,0.16298330890864315,5.154406550338991,13
51,0.7685407036716417,0.8217451338572476,0.8303847384787385,0.16957375547431933,5.245388093839453,0.7765254532883655,0.8362659955892793,0.8403227035827401,0.16187849259014506,5.147067779328777,12
