epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,3.511652,4.060936,0.516719,0.588456,38,211,0.578630,0.110014,15.000000,1
2,3.549141,4.065032,0.537708,0.627534,38,211,0.593020,0.109522,15.000000,1
3,3.200625,4.034396,0.566854,0.632539,38,211,0.630195,0.106632,15.000000,1
4,3.332122,4.062402,0.564472,0.625556,38,211,0.621565,0.107013,15.000000,1
5,3.345625,4.064379,0.583858,0.640842,38,211,0.632689,0.107970,15.000000,1
6,3.168174,4.197027,0.572760,0.630957,38,211,0.620828,0.113906,15.000000,1
7,3.261437,4.229901,0.566645,0.628763,38,211,0.620828,0.116082,15.000000,1
8,3.149272,4.243458,0.568786,0.615946,38,211,0.610448,0.115926,15.000000,1
9,3.220534,4.162397,0.568292,0.624559,38,211,0.617561,0.114300,15.000000,1
10,3.107867,4.350401,0.563561,0.583426,38,211,0.587318,0.122599,15.000000,1
11,3.112859,4.294749,0.556304,0.602315,38,211,0.594268,0.120421,15.000000,1
12,3.015231,4.353549,0.561168,0.607155,38,211,0.604533,0.120945,15.000000,1
13,3.049691,4.338805,0.536896,0.571499,38,211,0.576561,0.122247,15.000000,1
14,3.080616,4.298350,0.598228,0.613222,38,211,0.614504,0.121553,15.000000,1
15,3.051513,4.330578,0.577404,0.601071,38,211,0.599171,0.122961,15.000000,1
16,3.152802,4.342506,0.553955,0.578168,38,211,0.573586,0.124254,15.000000,1
17,3.061713,4.458112,0.539388,0.567519,38,211,0.570115,0.126679,15.000000,1
18,3.061194,4.460087,0.534064,0.561573,38,211,0.567797,0.125386,15.000000,1
19,2.959745,4.459782,0.537511,0.529812,38,211,0.549637,0.128687,15.000000,1
20,2.931601,4.460268,0.548137,0.583909,38,211,0.573088,0.126325,15.000000,1
21,3.014299,4.414043,0.544372,0.565573,38,211,0.581182,0.124377,15.000000,1
22,3.002354,4.514399,0.547292,0.578611,38,211,0.575963,0.125418,15.000000,1
23,2.738732,4.499851,0.543428,0.568590,38,211,0.567198,0.129482,15.000000,1
24,3.061187,4.508139,0.544295,0.595746,38,211,0.564623,0.125476,15.000000,1
25,2.729322,4.518530,0.533482,0.545017,38,211,0.559004,0.125988,15.000000,1
26,2.947793,4.540190,0.545711,0.554361,38,211,0.547699,0.128046,15.000000,1
27,2.977484,4.495949,0.547391,0.562235,38,211,0.563031,0.126875,15.000000,1
28,2.918147,4.545951,0.551079,0.575606,38,211,0.569890,0.127989,15.000000,1
29,2.825894,4.662628,0.552978,0.538468,38,211,0.554878,0.130647,15.000000,1
30,2.910635,4.550750,0.577283,0.588842,38,211,0.564969,0.129752,15.000000,1
31,2.937844,4.553887,0.550278,0.543022,38,211,0.541914,0.131774,15.000000,1
32,2.758966,4.669963,0.570982,0.564687,38,211,0.554484,0.133110,15.000000,1
33,3.011518,4.599508,0.574275,0.573626,38,211,0.549489,0.129551,15.000000,1
34,2.821075,4.568522,0.569730,0.551171,38,211,0.549263,0.128945,15.000000,1
35,2.806186,4.722802,0.571366,0.560016,38,211,0.560261,0.133034,15.000000,1
36,2.735353,4.775253,0.535403,0.525186,38,211,0.548712,0.132807,15.000000,1
37,2.971031,4.705357,0.555470,0.560230,38,211,0.563352,0.132785,15.000000,1
38,2.766543,4.670210,0.582585,0.543723,38,211,0.553723,0.133437,15.000000,1
39,2.828464,4.680346,0.586537,0.555802,38,211,0.568762,0.130572,15.000000,1
40,2.819533,4.658968,0.558522,0.547359,38,211,0.540543,0.133467,15.000000,1
41,2.868864,4.768643,0.564779,0.548061,38,211,0.540896,0.137495,15.000000,1
42,2.782380,4.872780,0.559828,0.554456,38,211,0.556525,0.136460,15.000000,1
43,2.720183,4.802088,0.543076,0.505213,38,211,0.532451,0.136961,15.000000,1
44,2.739563,4.834738,0.564834,0.570259,38,211,0.564375,0.134882,15.000000,1
