epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,3.582693,4.047408,0.570762,0.583783,38,211,0.615012,0.109221,15.000000,1
2,3.549847,4.045519,0.578227,0.673430,38,211,0.625149,0.108991,15.000000,1
3,3.632032,4.030596,0.595133,0.692802,38,211,0.650066,0.108276,15.000000,1
4,3.513671,3.992873,0.627593,0.667764,38,211,0.655166,0.106247,15.000000,1
5,3.394667,4.022111,0.616550,0.667346,38,211,0.649068,0.107433,15.000000,1
6,3.237213,4.016799,0.621830,0.590019,38,211,0.641722,0.106881,15.000000,1
7,3.436191,4.090954,0.581367,0.617449,38,211,0.637248,0.109098,15.000000,1
8,3.348560,4.029916,0.598986,0.575988,38,211,0.629115,0.109191,15.000000,1
9,3.184711,4.097470,0.584879,0.606658,38,211,0.621897,0.112124,15.000000,1
10,3.253034,4.197693,0.582102,0.606818,38,211,0.617440,0.113870,15.000000,1
11,3.170685,4.169930,0.581279,0.614313,38,211,0.621625,0.115237,15.000000,1
12,3.208041,4.165604,0.598821,0.619998,38,211,0.634488,0.115045,15.000000,1
13,3.173126,4.174529,0.593727,0.619932,38,211,0.616148,0.118227,15.000000,1
14,3.136750,4.286298,0.589237,0.602924,38,211,0.609213,0.122257,15.000000,1
15,3.193255,4.249962,0.554812,0.603083,38,211,0.602509,0.120966,15.000000,1
16,3.134304,4.322263,0.567271,0.622780,38,211,0.621878,0.121808,15.000000,1
17,2.984701,4.347954,0.572288,0.577912,38,211,0.605649,0.122154,15.000000,1
18,3.054076,4.372489,0.571487,0.615903,38,211,0.612791,0.122016,15.000000,1
19,3.031926,4.337773,0.581937,0.600506,38,211,0.613187,0.123727,15.000000,1
20,3.012886,4.363655,0.577217,0.628445,38,211,0.614179,0.126701,15.000000,1
21,3.033839,4.499175,0.554197,0.591113,38,211,0.601011,0.127029,15.000000,1
22,2.890867,4.481846,0.561727,0.590229,38,211,0.600521,0.125449,15.000000,1
23,3.176281,4.470218,0.539860,0.552062,38,211,0.584782,0.123049,15.000000,1
24,2.893722,4.525232,0.571091,0.589979,38,211,0.591981,0.127475,15.000000,1
25,2.878180,4.601469,0.565098,0.598862,38,211,0.589607,0.131288,15.000000,1
26,2.872307,4.637138,0.560191,0.578564,38,211,0.591887,0.132762,15.000000,1
27,2.836298,4.648363,0.570356,0.565346,38,211,0.576769,0.131354,15.000000,1
28,3.013367,4.670119,0.555525,0.587816,38,211,0.597739,0.127127,15.000000,1
29,2.791802,4.562068,0.567161,0.591998,38,211,0.604805,0.125377,15.000000,1
30,2.990801,4.579224,0.564373,0.560531,38,211,0.572818,0.128236,15.000000,1
31,2.856432,4.670752,0.558533,0.592537,38,211,0.578646,0.131541,15.000000,1
32,2.725181,4.725075,0.556667,0.590555,38,211,0.587862,0.130817,15.000000,1
33,2.925577,4.704612,0.566316,0.603973,38,211,0.597883,0.129675,15.000000,1
34,2.967299,4.796724,0.549334,0.553878,38,211,0.558034,0.130598,15.000000,1
