epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,3.979297,4.070234,0.555525,0.484485,38,211,0.563971,0.110006,15.000000,1
2,3.804957,4.074148,0.551441,0.519762,38,211,0.583607,0.109620,15.000000,1
3,3.701700,4.050920,0.569697,0.542830,38,211,0.613965,0.107634,15.000000,1
4,3.698518,4.050083,0.580126,0.573109,38,211,0.623469,0.107182,15.000000,1
5,3.684235,4.055916,0.597306,0.586000,38,211,0.634879,0.107104,15.000000,1
6,3.532592,4.069754,0.610194,0.600962,38,211,0.642676,0.107244,15.000000,1
7,3.403242,4.090213,0.606999,0.608583,38,211,0.633603,0.107587,15.000000,1
8,3.412122,4.169617,0.608899,0.599369,38,211,0.630985,0.109797,15.000000,1
9,3.454427,4.167425,0.625881,0.650020,38,211,0.635520,0.114972,15.000000,1
10,3.325940,4.243153,0.603728,0.576881,38,211,0.602244,0.115873,15.000000,1
11,3.492490,4.234526,0.624772,0.617305,38,211,0.615207,0.115988,15.000000,1
12,3.362024,4.236079,0.622895,0.616046,38,211,0.621645,0.114795,15.000000,1
13,3.344149,4.318853,0.610139,0.571807,38,211,0.600589,0.115892,15.000000,1
14,3.337908,4.268379,0.628691,0.613262,38,211,0.610852,0.118617,15.000000,1
15,3.301859,4.290894,0.625837,0.615189,38,211,0.610318,0.119828,15.000000,1
16,3.218565,4.469297,0.600808,0.541733,38,211,0.585344,0.122413,15.000000,1
17,3.310848,4.348608,0.618537,0.604224,38,211,0.595809,0.121412,15.000000,1
18,3.282289,4.519667,0.600303,0.529246,38,211,0.576899,0.123736,15.000000,1
19,3.345822,4.439435,0.609886,0.560653,38,211,0.574172,0.126231,15.000000,1
20,3.158511,4.510783,0.605792,0.569899,38,211,0.574300,0.127878,15.000000,1
21,3.219766,4.541711,0.592717,0.514772,38,211,0.554120,0.127185,15.000000,1
22,3.210369,4.694571,0.611423,0.566675,38,211,0.578192,0.128280,15.000000,1
23,3.105888,4.722389,0.633104,0.578029,38,211,0.603909,0.127514,15.000000,1
24,3.185662,4.765799,0.580894,0.518536,38,211,0.561561,0.127006,15.000000,1
25,2.999860,4.664221,0.619613,0.584860,38,211,0.592467,0.127023,15.000000,1
26,3.176649,4.718889,0.621106,0.572220,38,211,0.582130,0.131105,15.000000,1
27,3.125832,4.805776,0.589753,0.526113,38,211,0.564654,0.131237,15.000000,1
28,2.795745,4.835596,0.621622,0.585693,38,211,0.588602,0.132091,15.000000,1
29,2.958809,4.859317,0.583408,0.521219,38,211,0.550241,0.131182,15.000000,1
30,3.042928,4.792932,0.596219,0.538452,38,211,0.544302,0.133687,15.000000,1
31,2.841781,4.907635,0.590456,0.530456,38,211,0.565227,0.131559,15.000000,1
32,2.935055,4.951093,0.601532,0.538311,38,211,0.579742,0.130936,15.000000,1
33,3.002075,4.988028,0.585812,0.518819,38,211,0.548278,0.134841,15.000000,1
34,2.988628,4.829219,0.613147,0.571546,38,211,0.569148,0.134256,15.000000,1
35,2.998001,4.930784,0.607175,0.568485,38,211,0.571054,0.131854,15.000000,1
36,2.974238,5.061413,0.577393,0.523415,38,211,0.540487,0.136833,15.000000,1
37,2.915935,5.126142,0.594891,0.547008,38,211,0.560195,0.137621,15.000000,1
38,2.821093,5.158415,0.592641,0.527017,38,211,0.560219,0.135637,15.000000,1
39,2.876161,5.113470,0.603443,0.527723,38,211,0.547998,0.138084,15.000000,1
40,2.994228,5.260523,0.612477,0.531795,38,211,0.568750,0.131812,15.000000,1
41,2.733562,5.231241,0.606868,0.565732,38,211,0.569815,0.133311,15.000000,1
42,2.698995,5.205501,0.593980,0.521840,38,211,0.551058,0.134654,15.000000,1
43,2.969762,5.139921,0.610238,0.561657,38,211,0.563784,0.142135,15.000000,1
44,3.014193,5.208766,0.575153,0.512044,38,211,0.550653,0.135004,15.000000,1
45,2.871870,5.125807,0.606374,0.555833,38,211,0.566331,0.136659,15.000000,1
46,2.805662,5.372368,0.572628,0.500155,38,211,0.535809,0.139162,15.000000,1
47,2.716388,5.343119,0.603926,0.566885,38,211,0.563940,0.138355,15.000000,1
48,3.004917,5.252951,0.598053,0.558235,38,211,0.551157,0.138240,15.000000,1
49,2.715390,5.461110,0.611116,0.558427,38,211,0.567169,0.136829,15.000000,1
50,2.673231,5.446499,0.592037,0.539875,38,211,0.542554,0.139206,15.000000,1
51,2.855268,5.412044,0.600698,0.557122,38,211,0.560295,0.138049,15.000000,1
52,2.957766,5.395128,0.575987,0.530671,38,211,0.550019,0.137883,15.000000,1
53,2.783765,5.514439,0.587053,0.527728,38,211,0.565228,0.137917,15.000000,1
