epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,4.892134,5.397088,0.715110,0.759376,753,603,0.765216,0.200339,365.000000,1
2,4.719980,5.252041,0.746079,0.802831,753,603,0.804454,0.180260,365.000000,1
3,4.642268,5.204156,0.759969,0.820497,753,603,0.822085,0.171899,365.000000,1
4,4.627792,5.204894,0.764669,0.828039,753,603,0.829226,0.170305,365.000000,1
5,4.597081,5.179731,0.766640,0.827669,753,603,0.830815,0.167854,365.000000,1
6,4.576398,5.164097,0.768755,0.829127,753,603,0.832436,0.166352,365.000000,1
7,4.564519,5.170977,0.767802,0.829451,753,603,0.831845,0.166677,365.000000,1
8,4.533531,5.158666,0.771305,0.832702,753,603,0.835669,0.164391,365.000000,1
9,4.525852,5.154759,0.772272,0.833708,753,603,0.836841,0.163276,365.000000,1
10,4.524958,5.163399,0.771943,0.833291,753,603,0.836295,0.164130,365.000000,1
11,4.516778,5.157868,0.772175,0.833371,753,603,0.836548,0.163906,365.000000,1
12,4.498685,5.160160,0.771643,0.833565,753,603,0.836343,0.163508,365.000000,1
13,4.495280,5.158402,0.771809,0.833317,753,603,0.836033,0.163706,365.000000,1
14,4.486234,5.160477,0.772010,0.831358,753,603,0.834977,0.164313,365.000000,1
15,4.479280,5.165222,0.771537,0.832622,753,603,0.835898,0.163478,365.000000,1
16,4.468837,5.160017,0.772269,0.833602,753,603,0.836891,0.162844,365.000000,1
17,4.466612,5.177441,0.771384,0.833691,753,603,0.836254,0.163489,365.000000,1
18,4.442589,5.173166,0.770806,0.832296,753,603,0.835353,0.163784,365.000000,1
19,4.441864,5.167365,0.771888,0.833944,753,603,0.836368,0.163051,365.000000,1
20,4.421233,5.167916,0.772356,0.833209,753,603,0.836683,0.163521,365.000000,1
21,4.436590,5.175940,0.769177,0.830551,753,603,0.833097,0.164864,365.000000,1
22,4.435210,5.180956,0.766971,0.828147,753,603,0.830619,0.165873,365.000000,1
23,4.421429,5.183214,0.769721,0.830834,753,603,0.833724,0.164805,365.000000,1
24,4.407574,5.179504,0.769057,0.830000,753,603,0.832745,0.164897,365.000000,1
25,4.403932,5.183269,0.769619,0.830503,753,603,0.833278,0.164691,365.000000,1
26,4.390541,5.189387,0.769173,0.829072,753,603,0.832276,0.165386,365.000000,1
27,4.387507,5.198240,0.767598,0.827947,753,603,0.830735,0.166312,365.000000,1
28,4.382776,5.183475,0.768340,0.827989,753,603,0.832060,0.165239,365.000000,1
29,4.381076,5.195253,0.768306,0.828388,753,603,0.832100,0.166283,365.000000,1
