epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,1.455009,2.525740,0.723398,0.631549,16,65,0.651381,0.140099,15.000000,1
2,1.581924,2.422286,0.766025,0.650933,16,65,0.686964,0.137193,15.000000,1
3,1.488511,2.394386,0.770129,0.675431,16,65,0.697277,0.136080,15.000000,1
4,1.509122,2.362450,0.774550,0.671204,16,65,0.693222,0.139110,15.000000,1
5,1.315252,2.344609,0.779286,0.679635,16,65,0.685126,0.139257,15.000000,1
6,1.368059,2.321547,0.782760,0.687173,16,65,0.700448,0.136659,15.000000,1
7,1.236056,2.332014,0.773919,0.675635,16,65,0.705335,0.135890,15.000000,1
8,1.284567,2.304534,0.767919,0.665935,16,65,0.700786,0.134011,15.000000,1
9,1.250890,2.268850,0.776445,0.677261,16,65,0.715460,0.132342,15.000000,1
10,1.084602,2.270112,0.770129,0.682736,16,65,0.720171,0.131569,15.000000,1
11,1.284630,2.291272,0.762551,0.677716,16,65,0.724250,0.129265,15.000000,1
12,1.134667,2.320150,0.762867,0.673318,16,65,0.718572,0.135335,15.000000,1
13,1.118619,2.322972,0.763183,0.663777,16,65,0.726806,0.136257,15.000000,1
14,0.952583,2.327362,0.758762,0.674487,16,65,0.725585,0.134643,15.000000,1
15,1.025491,2.376397,0.746763,0.664214,16,65,0.721169,0.139146,15.000000,1
16,0.990836,2.385273,0.748027,0.679716,16,65,0.728731,0.140096,15.000000,1
