epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,3.638326,4.059343,0.519474,0.592881,38,211,0.589117,0.110013,15.000000,1
2,3.569724,4.053475,0.526160,0.629960,38,211,0.610780,0.108627,15.000000,1
3,3.547033,4.043837,0.546040,0.629939,38,211,0.624122,0.106938,15.000000,1
4,3.560748,4.028979,0.590236,0.641574,38,211,0.640318,0.105206,15.000000,1
5,3.395768,4.051702,0.587997,0.639902,38,211,0.636793,0.105461,15.000000,1
6,3.364903,4.072446,0.587349,0.628189,38,211,0.627462,0.104579,15.000000,1
7,3.365302,4.094647,0.571157,0.601896,38,211,0.623428,0.106068,15.000000,1
8,3.444066,4.098911,0.588557,0.618890,38,211,0.620263,0.104983,15.000000,1
9,3.296825,4.082333,0.595319,0.617518,38,211,0.622939,0.105174,15.000000,1
10,3.256633,4.125953,0.600863,0.620373,38,211,0.628381,0.105708,15.000000,1
11,3.323530,4.148500,0.598876,0.597880,38,211,0.614927,0.109679,15.000000,1
12,3.008155,4.156747,0.588820,0.623794,38,211,0.631976,0.107915,15.000000,1
13,3.179657,4.165055,0.594331,0.612537,38,211,0.625026,0.108968,15.000000,1
14,3.313627,4.166036,0.595561,0.610632,38,211,0.618073,0.108448,15.000000,1
15,3.220284,4.193076,0.585231,0.604167,38,211,0.621547,0.108693,15.000000,1
16,2.952080,4.202237,0.586910,0.616292,38,211,0.630669,0.108720,15.000000,1
17,3.332697,4.229240,0.581619,0.592923,38,211,0.607549,0.110497,15.000000,1
18,3.322246,4.185751,0.587316,0.604689,38,211,0.615147,0.109559,15.000000,1
19,3.275828,4.246859,0.568841,0.589177,38,211,0.604429,0.112785,15.000000,1
20,3.154812,4.250176,0.572211,0.600129,38,211,0.612013,0.111873,15.000000,1
21,3.091693,4.253124,0.568665,0.587471,38,211,0.609850,0.112229,15.000000,1
22,3.239911,4.224785,0.568775,0.601550,38,211,0.613291,0.111579,15.000000,1
23,3.269430,4.199503,0.572870,0.619231,38,211,0.617760,0.112966,15.000000,1
24,3.233391,4.272650,0.567117,0.598360,38,211,0.618363,0.112383,15.000000,1
25,3.135496,4.227885,0.558522,0.599996,38,211,0.612863,0.111976,15.000000,1
26,3.152986,4.300259,0.562946,0.594177,38,211,0.607917,0.115273,15.000000,1
27,3.135498,4.357772,0.564406,0.589502,38,211,0.606861,0.118360,15.000000,1
28,3.116830,4.284184,0.574385,0.598004,38,211,0.604239,0.115742,15.000000,1
29,3.176807,4.295222,0.559642,0.586881,38,211,0.593426,0.115971,15.000000,1
30,3.104598,4.373937,0.563660,0.580060,38,211,0.600118,0.118414,15.000000,1
