seed,test_c_index,test_td_auc,test_iauc,test_ibs,test_loss,val_c_index,val_td_auc,val_iauc,val_ibs,val_loss,best_epoch
42,0.6016169752344314,0.613253424350589,0.5918674345651984,0.10459655091487811,5.00382245059444,0.610369508419874,0.6188202358533645,0.6278206302214484,0.1115857439100583,4.314675474273704,13
43,0.671856215436403,0.6110894351120728,0.5674961704632325,0.10468382562323304,4.996533409351649,0.5982282038334028,0.6132223287731968,0.6145044813136054,0.1215531446968738,4.298350009302135,14
44,0.664522721808127,0.5895831890986637,0.5769699927120366,0.10354258064503315,4.332636842485989,0.6187015610248754,0.6820483599438207,0.6560927043858207,0.10561943090271174,4.057520936281491,6
45,0.6066362106275547,0.7073658217583199,0.5547962801901435,0.11640831656403909,4.536841518310388,0.6457285880519025,0.6420148696311259,0.5923731830894591,0.11585305291337643,4.2241263274740515,17
46,0.6130680452031738,0.595640727526478,0.5470612007178736,0.11406713441681797,4.978286872055718,0.5760423299009814,0.637854273569905,0.6173425952612827,0.10600026609692023,4.0830420285930735,9
47,0.609551574897812,0.6174882398305944,0.5672085477978502,0.1173922261978505,5.715059653437703,0.6331042659231124,0.5780287121109039,0.6039087156649694,0.1275136315256271,4.722388837033016,23
48,0.6794000961769656,0.6459260050368756,0.5874516593731418,0.09977113250631965,4.30729222189226,0.6553779612268645,0.6327396943989089,0.6361072237149445,0.11774356161993657,4.168674913602947,15
49,0.6903101707141139,0.6625761620625659,0.5805273581596072,0.10228348881012254,4.455232676009686,0.6275934748721101,0.667764274556628,0.6551661882702513,0.10624743521936954,3.992872749806519,4
50,0.6321832171194999,0.6038392559732005,0.5805532510165036,0.11123909509072381,4.7688879021736925,0.6459481414802292,0.62409047167605,0.6350938816123471,0.11672063145200412,4.258207242999886,13
51,0.6567083433517672,0.6229468531741353,0.5766899520625981,0.1078584236695666,4.633053507566297,0.622379080949349,0.6575737100482408,0.6437065799792391,0.10638596405295479,4.040511231443791,6
